,time,SBI_index,lower_level_ws (10m m/s),lower_level_angle (10m degrees),upper_level_ws (500-2000m),upper_level_angle (500-2000m)
278,2012-04-17 21:00:00,0.9646243,3.1090984,80.82796,4.4887795,342.295
279,2012-04-17 22:00:00,0.9910596,3.0476897,82.89295,5.5856624,344.6247
280,2012-04-17 23:00:00,0.9938195,2.9862864,85.19902,4.0196385,353.23688
281,2012-04-18 00:00:00,0.99842733,2.9248877,87.78206,4.045028,349.42285
282,2012-04-18 01:00:00,0.9831209,2.8689835,88.8713,3.915512,356.65295
283,2012-04-18 02:00:00,0.98646665,2.7989042,80.583984,4.6676087,335.9712
284,2012-04-18 03:00:00,0.92948335,2.7399507,68.37751,5.6813397,336.32422
285,2012-04-19 00:00:00,0.9144771,3.1000888,66.93766,6.335859,334.79184
286,2012-04-19 01:00:00,0.97211087,3.2498362,103.090416,5.604682,333.41843
287,2012-04-19 02:00:00,0.93919826,3.1994967,110.00029,5.474359,334.01498
288,2012-04-19 03:00:00,0.9396419,2.9971943,110.00017,6.0949244,333.9722
289,2012-04-19 04:00:00,0.9349268,2.7978406,110.00009,3.234218,359.21588
290,2012-04-19 05:00:00,0.93705606,2.6021116,110.00006,5.865612,334.05728
291,2012-04-19 06:00:00,0.93969166,2.4108913,110.00003,4.579629,340.26678
292,2012-04-19 07:00:00,0.9396923,2.2253425,110.0,4.5873613,346.54788
293,2012-04-19 08:00:00,0.9395778,2.0470076,109.999985,5.214161,327.71475
294,2012-04-19 09:00:00,0.9393518,1.8779432,109.99998,4.7702556,346.5217
295,2012-04-19 10:00:00,0.93377244,1.7208831,109.99996,4.7170844,346.66095
296,2012-04-19 11:00:00,0.9395364,1.5794134,109.99996,3.3378644,333.96402
297,2012-04-19 12:00:00,0.93937767,1.4580787,109.99995,4.477789,346.5227
298,2012-04-19 13:00:00,0.93902385,1.3852446,110.105606,4.268389,334.07904
299,2012-04-19 14:00:00,0.9339747,1.4136335,110.93126,4.897691,334.9049
300,2012-04-19 15:00:00,0.92605346,1.4948387,112.05167,4.921523,335.9926
301,2012-04-19 16:00:00,0.90978307,1.6161245,113.41138,4.4300637,349.8288
302,2012-04-19 17:00:00,0.9056128,1.7692673,115.09405,4.6890497,332.79358
303,2012-04-19 18:00:00,0.88779205,1.9467635,117.22598,3.959081,341.26474
304,2012-04-19 19:00:00,0.86597276,2.142569,120.00563,4.271971,350.26825
305,2012-04-19 20:00:00,0.8104349,2.3521159,123.7594,3.7880764,354.24982
306,2012-04-19 21:00:00,0.77544016,2.5720475,129.05013,3.4152782,359.26105
307,2012-04-19 22:00:00,0.68077725,2.7999177,136.88492,4.3430214,354.4953
308,2012-04-19 23:00:00,0.5068246,3.0339382,149.02756,4.7667184,348.05145
309,2012-04-20 00:00:00,0.20807916,3.2727907,167.81425,4.0538883,353.9286
310,2012-04-20 05:00:00,0.010502635,3.557655,179.39822,4.278753,346.83774
311,2012-04-20 06:00:00,0.15794048,3.5855136,170.87292,4.8316073,344.49683
312,2012-04-20 07:00:00,0.47417128,3.6177716,151.5945,4.8836136,344.24127
313,2012-04-20 08:00:00,0.9594192,3.654311,106.350655,5.0157304,349.19943
314,2012-04-21 09:00:00,0.8606892,4.049665,89.981964,6.165535,357.41238
315,2012-04-21 10:00:00,0.46770257,3.840659,120.13786,6.0326324,357.68594
316,2012-04-21 11:00:00,-0.21836051,3.6384082,163.26181,5.9215384,359.68002
317,2012-04-21 17:00:00,-0.13853656,3.1788378,169.49405,4.0092125,359.62665
318,2012-04-21 18:00:00,0.27830872,3.1567125,163.64038,3.8862176,356.05222
319,2012-04-21 19:00:00,0.31789297,3.1380258,158.55013,4.0690484,356.88266
320,2012-04-21 20:00:00,0.30735305,3.1228397,154.14894,3.951311,353.78702
321,2012-04-21 21:00:00,0.4727852,3.111205,150.34827,3.8408706,355.18207
322,2012-04-21 22:00:00,0.5431333,3.103162,147.0604,3.7087405,352.14532
323,2012-04-21 23:00:00,0.5554454,3.0987387,144.20592,4.8036203,355.94043
